layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.16.conv.1.0,features.16,69,0.2289326251189245,0.2262624271625116,-0.0026701979564129,0.0026701979564129,0.827492596248766,0.8279368213228036,0.0004442250740375,0.0004442250740375,2.6245592721352295e-07,4.128782871148928e-10,4.128782871148928e-10,9.471408518590962e-10
features.16.conv.1.0,features.16,70,0.2289326251189245,0.2338967475953125,0.0049641224763879,0.0049641224763879,0.827492596248766,0.8272458045409674,-0.0002467917077986,0.0002467917077986,5.181605047255289e-07,1.3362897455237999e-09,1.3362897455237999e-09,1.880325638248248e-09
features.16.conv.1.0,features.16,71,0.2289326251189245,0.2298022385199537,0.0008696134010291,0.0008696134010291,0.827492596248766,0.8267028627838104,-0.0007897334649555,0.0007897334649555,3.894750832955651e-08,1.4160660199991072e-08,1.4160660199991072e-08,1.4379578229528622e-08
features.16.conv.1.0,features.16,72,0.2289326251189245,0.2353528811239082,0.0064202560049836,0.0064202560049836,0.827492596248766,0.8283810463968411,0.000888450148075,0.000888450148075,4.307568985950639e-07,7.871223672850646e-10,7.871223672850646e-10,1.1817468670294318e-09
features.16.conv.1.0,features.16,73,0.2289326251189245,0.2293121727356152,0.0003795476166907,0.0003795476166907,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,7.862735884600627e-08,9.148737878383884e-10,9.148737878383884e-10,1.172978707220107e-09
features.16.conv.1.0,features.16,74,0.2289326251189245,0.2295844465543568,0.0006518214354322,0.0006518214354322,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,6.502765614868622e-08,3.244974955407542e-09,3.244974955407542e-09,3.4509396173998397e-09
features.16.conv.1.0,features.16,75,0.2289326251189245,0.2294527184061471,0.0005200932872226,0.0005200932872226,0.827492596248766,0.8278874629812438,0.0003948667324777,0.0003948667324777,1.3333439596863172e-07,4.2491971052882604e-10,4.2491971052882604e-10,6.443940728240172e-10
features.16.conv.1.0,features.16,76,0.2289326251189245,0.2292045197208105,0.0002718946018859,0.0002718946018859,0.827492596248766,0.827492596248766,0.0,0.0,1.2214009359468037e-07,3.45616479879851e-10,3.45616479879851e-10,4.967141212230963e-10
features.16.conv.1.0,features.16,77,0.2289326251189245,0.23100221063995,0.0020695855210254,0.0020695855210254,0.827492596248766,0.8273445212240869,-0.0001480750246791,0.0001480750246791,9.71937339500073e-08,2.962805334405516e-09,2.962805334405516e-09,3.6955082605150125e-09
features.16.conv.1.0,features.16,78,0.2289326251189245,0.2266802907404142,-0.0022523343785103,0.0022523343785103,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,2.876862197354058e-07,2.445188052035973e-09,2.445188052035973e-09,3.2162096041954413e-09
features.16.conv.1.0,features.16,79,0.2289326251189245,0.2281534820764803,-0.0007791430424441,0.0007791430424441,0.827492596248766,0.827492596248766,0.0,0.0,4.311741008677927e-08,1.6840924488281672e-10,1.6840924488281672e-10,2.3110326326236663e-10
features.16.conv.1.0,features.16,80,0.2289326251189245,0.2289326251189245,0.0,0.0,0.827492596248766,0.827492596248766,0.0,0.0,0.0,0.0,0.0,0.0
features.16.conv.1.0,features.16,81,0.2289326251189245,0.2286378398992164,-0.0002947852197081,0.0002947852197081,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,3.560256445211962e-08,1.6593609819537392e-10,1.6593609819537392e-10,2.0240857427633596e-10
features.16.conv.1.0,features.16,82,0.2289326251189245,0.2294394943426272,0.0005068692237026,0.0005068692237026,0.827492596248766,0.827492596248766,0.0,0.0,2.4507528451067628e-08,7.578405125663321e-10,7.578405125663321e-10,7.889830976048895e-10
features.16.conv.1.0,features.16,83,0.2289326251189245,0.2289385253337658,5.900214841286777e-06,5.900214841286777e-06,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,8.483962687932944e-08,3.071985332780968e-09,3.071985332780968e-09,3.6897111477252054e-09
features.16.conv.1.0,features.16,84,0.2289326251189245,0.2286845459927153,-0.0002480791262092,0.0002480791262092,0.827492596248766,0.8273445212240869,-0.0001480750246791,0.0001480750246791,2.299079966405771e-07,1.7524295903292847e-10,1.7524295903292847e-10,2.3971872403771854e-10
features.16.conv.1.0,features.16,85,0.2289326251189245,0.2288081231268927,-0.0001245019920318,0.0001245019920318,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,5.0403496487660966e-08,9.919843835248794e-10,9.919843835248794e-10,1.0554538232981914e-09
features.16.conv.1.0,features.16,86,0.2289326251189245,0.2290420796572696,0.000109454538345,0.000109454538345,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,2.50679281776911e-08,6.12034589675403e-10,6.12034589675403e-10,7.468392224097009e-10
features.16.conv.1.0,features.16,87,0.2289326251189245,0.2284110876583908,-0.0005215374605336,0.0005215374605336,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,2.6187169765989893e-08,3.0604277445611667e-10,3.0604277445611667e-10,3.708427245840973e-10
features.16.conv.1.0,features.16,88,0.2289326251189245,0.2274152162796525,-0.001517408839272,0.001517408839272,0.827492596248766,0.8277393879565647,0.0002467917077986,0.0002467917077986,2.363889279877185e-07,9.081841390035095e-10,9.081841390035095e-10,1.2259192411212538e-09
features.16.conv.1.0,features.16,89,0.2289326251189245,0.2297424073825884,0.0008097822636639,0.0008097822636639,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,1.2991098863324169e-08,5.065764696610131e-09,5.065764696610131e-09,5.131250349968419e-09
features.16.conv.1.0,features.16,90,0.2289326251189245,0.2289435488829211,1.0923763996584236e-05,1.0923763996584236e-05,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,1.2353029887890446e-07,4.137029330220088e-10,4.137029330220088e-10,5.026884811187848e-10
features.16.conv.1.0,features.16,91,0.2289326251189245,0.2252771003309142,-0.0036555247880102,0.0036555247880102,0.827492596248766,0.8277887462981244,0.0002961500493583,0.0002961500493583,3.3532322163409845e-07,1.9116477290026523e-09,1.9116477290026523e-09,2.582212041413179e-09
features.16.conv.1.0,features.16,92,0.2289326251189245,0.2282510893201271,-0.0006815357987974,0.0006815357987974,0.827492596248766,0.8277393879565647,0.0002467917077986,0.0002467917077986,7.002521584809075e-08,3.1105866771241604e-09,3.1105866771241604e-09,3.2625704290967228e-09
features.16.conv.1.0,features.16,93,0.2289326251189245,0.2291530979280532,0.0002204728091286,0.0002204728091286,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,2.002300760750586e-07,2.3215168676316006e-10,2.3215168676316006e-10,5.715040003739791e-10
features.16.conv.1.0,features.16,94,0.2289326251189245,0.2284914667079547,-0.0004411584109697,0.0004411584109697,0.827492596248766,0.8273445212240869,-0.0001480750246791,0.0001480750246791,2.255900142245082e-07,1.3477079452428598e-09,1.3477079452428598e-09,1.4866985212358408e-09
features.16.conv.1.0,features.16,95,0.2289326251189245,0.228223695795759,-0.0007089293231654,0.0007089293231654,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,6.110700923045442e-08,5.567136085460333e-09,5.567136085460333e-09,6.0360717743512815e-09
features.16.conv.1.0,features.16,96,0.2289326251189245,0.2294562250878798,0.0005235999689552,0.0005235999689552,0.827492596248766,0.827492596248766,0.0,0.0,1.6184483797587745e-07,2.946918931101549e-09,2.946918931101549e-09,3.4286714023501474e-09
features.16.conv.1.0,features.16,97,0.2289326251189245,0.2278504950152548,-0.0010821301036697,0.0010821301036697,0.827492596248766,0.8270977295162882,-0.0003948667324777,0.0003948667324777,1.602780486109623e-07,1.3808483245725252e-09,1.3808483245725252e-09,2.0944126433164456e-09
features.16.conv.1.0,features.16,98,0.2289326251189245,0.229322456297875,0.0003898311789505,0.0003898311789505,0.827492596248766,0.8272458045409674,-0.0002467917077986,0.0002467917077986,4.895139937843852e-08,8.092849723695392e-10,8.092849723695392e-10,8.952458392663676e-10
features.16.conv.1.0,features.16,99,0.2289326251189245,0.2260644385981011,-0.0028681865208234,0.0028681865208234,0.827492596248766,0.8271964461994077,-0.0002961500493583,0.0002961500493583,1.1501461472107621e-07,3.6209730769343196e-09,3.6209730769343196e-09,4.773225203980047e-09
features.16.conv.1.0,features.16,100,0.2289326251189245,0.231394104327322,0.0024614792083974,0.0024614792083974,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,2.230320319540624e-07,3.348640809086589e-10,3.348640809086589e-10,4.5870309807460874e-10
features.16.conv.1.0,features.16,101,0.2289326251189245,0.2374740298634447,0.0085414047445201,0.0085414047445201,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,3.743537320133328e-07,4.71360728226955e-09,4.71360728226955e-09,6.1224241787449785e-09
features.16.conv.1.0,features.16,102,0.2289326251189245,0.2284729594375511,-0.0004596656813734,0.0004596656813734,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,1.8471726548341402e-07,2.4060772818579323e-10,2.4060772818579323e-10,3.7293806931515405e-10
features.16.conv.1.0,features.16,103,0.2289326251189245,0.2355523493166952,0.0066197241977706,0.0066197241977706,0.827492596248766,0.8258144126357354,-0.0016781836130306,0.0016781836130306,1.955580017920511e-07,2.2657320464247727e-10,2.2657320464247727e-10,3.6098195543843303e-09
