layer_name,num_channels,score_name,activation_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.16.conv.0.0,960,importance_score,gap_y1,960,0.06724134045020484,0.03724755648669662,0.027917511707827646,0.3875692666174274
features.16.conv.0.0,960,importance_score,activation_gap,960,0.06101688961636976,0.058779746721281355,0.03318897485474211,0.30429522225651556
features.16.conv.0.0,960,importance_score,mean_gradient,960,0.3288160811293582,1.2226722679518514e-25,0.5489289640158682,1.1995017483080352e-76
features.16.conv.1.0,960,importance_score,phi,960,-0.002034072557092795,0.9498131778991091,0.06967960507224434,0.0308691745713055
features.16.conv.1.0,960,importance_score,gap_y0,960,-0.03748247232228434,0.24594843309858175,-0.09191553649830864,0.004368848421251625
features.16.conv.1.0,960,importance_score,gap_y1,960,-0.04181886463163476,0.19546227891909568,-0.045259355728572634,0.16115401161525453
features.16.conv.1.0,960,importance_score,activation_gap,960,-0.04047201617160051,0.21025698052677808,-0.07649649234289702,0.017761962848891817
features.16.conv.1.0,960,importance_score,mean_gradient,960,0.11027303942998942,0.0006200775785063178,0.26865065965855667,2.4716062067433405e-17
features.16.conv.2,160,importance_score,phi,160,0.21209728696221697,0.007091625288468779,0.2687507324504863,0.0005898385338240599
features.16.conv.2,160,importance_score,gap_y0,160,-0.004435764172501699,0.9556056447481868,0.01489804289230048,0.8516764655840086
features.16.conv.2,160,importance_score,gap_y1,160,0.024552730799888088,0.7579441671522341,0.01497714754482597,0.8508980275983068
features.16.conv.2,160,importance_score,activation_gap,160,0.01173430399947431,0.8829190766322792,0.017350287120590648,0.8276150817174235
features.16.conv.2,160,importance_score,mean_gradient,160,0.632941208470052,2.725069781615459e-19,0.7134712293448963,3.455627686845297e-26
features.17.conv.0.0,960,importance_score,phi,960,0.32814795095967725,1.5507153611176003e-25,0.29194893874667827,2.5619203742328397e-20
features.17.conv.0.0,960,importance_score,gap_y0,960,0.12494276470672216,0.00010386327669898053,0.06300086859903276,0.05100876047832638
features.17.conv.0.0,960,importance_score,gap_y1,960,0.13518630272647725,2.6405030660546444e-05,0.10828424292995106,0.0007777922016209735
features.17.conv.0.0,960,importance_score,activation_gap,960,0.13477714549872868,2.7943941538654422e-05,0.09239140341949154,0.004169522901102809
features.17.conv.0.0,960,importance_score,mean_gradient,960,0.3021561223889332,1.0240892053669009e-21,0.3447928545929412,3.48008243801799e-28
features.17.conv.1.0,960,importance_score,phi,960,-0.013490731233929508,0.6763350829320236,0.24468864712309799,1.4864296386725082e-14
features.17.conv.1.0,960,importance_score,gap_y0,960,-0.0048487507014453955,0.8807344815089143,0.27905458339256,1.2455591248807786e-18
features.17.conv.1.0,960,importance_score,gap_y1,960,-0.007406113270613716,0.818733523224309,0.26944829041698176,1.9745715056996706e-17
features.17.conv.1.0,960,importance_score,activation_gap,960,-0.006374481040313383,0.8436313165830633,0.2931071160016449,1.7895175260920177e-20
features.17.conv.1.0,960,importance_score,mean_gradient,960,-0.039942480648553325,0.21629002420164384,-0.15260798080293053,2.033423109678556e-06
features.17.conv.2,320,importance_score,phi,320,-0.034133948665398595,0.5429258746928092,0.01073155011279407,0.8483484795042937
features.17.conv.2,320,importance_score,gap_y0,320,-0.21544711789926824,0.00010246884482678962,-0.16383851404798874,0.0032900784013708034
features.17.conv.2,320,importance_score,gap_y1,320,-0.21723384792080253,8.940732152295048e-05,-0.18599412591919842,0.000827693216395234
features.17.conv.2,320,importance_score,activation_gap,320,-0.22826924489452374,3.7563872040035315e-05,-0.19059487885623885,0.0006089525300686228
features.17.conv.2,320,importance_score,mean_gradient,320,0.28594642579477625,1.9482141450133113e-07,0.3004786423695544,4.222779350690294e-08
features.18.0,1280,importance_score,phi,1280,,,,
features.18.0,1280,importance_score,gap_y0,1280,,,,
features.18.0,1280,importance_score,gap_y1,1280,,,,
features.18.0,1280,importance_score,activation_gap,1280,,,,
features.18.0,1280,importance_score,mean_gradient,1280,,,,
features.2.conv.0.0,96,importance_score,phi,96,0.26469440941761846,0.009156604051400981,0.1860146500271297,0.06959139130915655
features.2.conv.0.0,96,importance_score,gap_y0,96,0.24011318517877311,0.01845379360028598,0.21973684210526315,0.03146556870385068
features.2.conv.0.0,96,importance_score,gap_y1,96,0.22908538457516578,0.024760903132591914,0.2178920238741183,0.03295543157603152
features.2.conv.0.0,96,importance_score,activation_gap,96,0.2340282708153803,0.021737114042141015,0.21949267498643515,0.0316594319930107
features.2.conv.0.0,96,importance_score,mean_gradient,96,0.02558011994167854,0.8046062040493341,-0.10179055887140531,0.32372049704615213
features.2.conv.1.0,96,importance_score,phi,96,-0.25008777238364427,0.013993290487144504,-0.4974226804123711,2.525746362902934e-07
features.2.conv.1.0,96,importance_score,gap_y0,96,-0.2715793349265899,0.0074380165840978885,-0.5328540423223006,2.2891120639481412e-08
features.2.conv.1.0,96,importance_score,gap_y1,96,-0.26470040093632957,0.009154968322636287,-0.5425935973955507,1.1259636207561274e-08
features.2.conv.1.0,96,importance_score,activation_gap,96,-0.26826436470762904,0.008226296308207226,-0.5524959305480195,5.345938087544667e-09
features.2.conv.1.0,96,importance_score,mean_gradient,96,0.3276934011937225,0.0011174594739123344,0.5591698317959848,3.1913776711197854e-09
features.2.conv.2,24,importance_score,phi,24,0.40079391375755125,0.05226803248508716,0.08,0.7101960521957591
features.2.conv.2,24,importance_score,gap_y0,24,0.3606951924708877,0.08335457463409247,0.04347826086956521,0.8401329841149333
features.2.conv.2,24,importance_score,gap_y1,24,0.43547113424541745,0.03342497081649936,0.07217391304347825,0.7375189840952583
features.2.conv.2,24,importance_score,activation_gap,24,0.4061856983235412,0.04889319232211309,0.05913043478260869,0.783735252825447
features.2.conv.2,24,importance_score,mean_gradient,24,0.10534193079893991,0.6242151703298736,0.0626086956521739,0.7713343005112614
features.3.conv.0.0,144,importance_score,phi,144,0.21665630292638446,0.009100042153549062,0.20867293625914313,0.012074955880756792
features.3.conv.0.0,144,importance_score,gap_y0,144,0.3482191769040917,1.8955786921810063e-05,0.18678964713447474,0.024980239456241015
features.3.conv.0.0,144,importance_score,gap_y1,144,0.3776241580407077,3.0720867990172954e-06,0.17478900409934894,0.03614025047203516
features.3.conv.0.0,144,importance_score,activation_gap,144,0.366457619899738,6.262534089328757e-06,0.1826943171770758,0.028400813562727414
features.3.conv.0.0,144,importance_score,mean_gradient,144,0.04954983563114487,0.5553392898949886,0.2531347962382445,0.0022048151528654735
