channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
115,0.22731779732677534,0.2220422552697637,0.00527554205701164,9.420764871082401e-06,0.09862491955377585,0.15942235250696013,0.25804727206073597,3.6507903361462614e-05,1.2486933087529906e-07
116,0.22731779732677534,0.22785191997624502,0.0005341226494696705,3.136784744138515e-07,0.011796684043025522,0.0023210208492039017,0.014117704892229424,2.2218800917598467e-05,6.271670827118214e-08
117,0.22731779732677534,0.22558709810129962,0.0017306992254757236,1.79074196287813e-06,0.03389779685521801,0.03157971051378461,0.06547750736900262,2.7348963557612093e-05,1.1560815948996606e-07
118,0.22731779732677534,0.22692488554796367,0.0003929117788116776,1.4630069514542696e-06,0.06577334150163679,0.05745422877401973,0.12322757027565652,1.1872399562707965e-05,7.385952471850032e-08
119,0.22731779732677534,0.2270061868010766,0.00031161052569875225,3.1190437089685642e-06,0.07556773680101822,0.08070992947817318,0.1562776662791914,1.9958345829124206e-05,1.1413585809805227e-07
120,0.22731779732677534,0.2236063465123091,0.0037114508144662495,3.972061101091909e-06,0.12213221605768634,0.1378859872055619,0.2600182032632482,1.5276088563193807e-05,7.082189767970704e-08
121,0.22731779732677534,0.22114422842932766,0.00617356889744769,4.239214249882385e-06,0.07697999991878533,0.09060953406723958,0.1675895339860249,2.5295220704151418e-05,7.556000980457611e-08
122,0.22731779732677534,0.2243318401565841,0.0029859571701912335,2.704956804903026e-06,0.03566227697019388,0.03249903292524317,0.06816130989543706,3.968463647562772e-05,1.1886221784607187e-07
123,0.22731779732677534,0.22386175081434984,0.003456046512425509,4.2842411755784485e-06,0.07441237299569962,0.0939837866518507,0.16839615964755034,2.5441442278406328e-05,1.0631252678194869e-07
124,0.22731779732677534,0.2286094970150509,0.001291699688275555,1.2052355528187094e-06,0.03503542735192348,0.02420727081178944,0.059242698163712915,2.034403547063518e-05,1.6904026267638983e-07
125,0.22731779732677534,0.24062299195049655,0.013305194623721206,5.586150617311954e-06,0.06511574348736748,0.1211194999368552,0.18623524342422268,2.999513150466015e-05,8.907449711159643e-08
