layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.17.conv.1.0,features.17,563,0.17054892370443422,0.1700496633489901,-0.00049926035544412,0.00049926035544412,1.845062342908932e-07,2.554253510089754e-10
features.17.conv.1.0,features.17,564,0.17054892370443422,0.17257781206242864,0.0020288883579944184,0.0020288883579944184,8.595835083724523e-07,5.366319472122072e-09
features.17.conv.1.0,features.17,565,0.17054892370443422,0.1699638153385316,-0.0005851083659026146,0.0005851083659026146,1.8102853971413427e-07,4.211963486322468e-10
features.17.conv.1.0,features.17,566,0.17054892370443422,0.17088957743706767,0.0003406537326334502,0.0003406537326334502,2.051469465413902e-07,1.6352273146669203e-09
features.17.conv.1.0,features.17,567,0.17054892370443422,0.17072598130936184,0.00017705760492761624,0.00017705760492761624,1.7818693720528245e-07,6.471129951335364e-10
features.17.conv.1.0,features.17,568,0.17054892370443422,0.16963070794943966,-0.0009182157549945669,0.0009182157549945669,1.667515618919424e-07,4.177312176723013e-10
features.17.conv.1.0,features.17,569,0.17054892370443422,0.1696852212230169,-0.0008637024814173166,0.0008637024814173166,3.254515092976362e-07,1.36565147385026e-09
features.17.conv.1.0,features.17,570,0.17054892370443422,0.17004415886211685,-0.0005047648423173734,0.0005047648423173734,8.471069179449843e-08,9.99207216967335e-10
features.17.conv.1.0,features.17,571,0.17054892370443422,0.17009393476374504,-0.0004549889406891827,0.0004549889406891827,4.5431029604969815e-08,9.653972326412186e-11
features.17.conv.1.0,features.17,572,0.17054892370443422,0.17071543621450244,0.00016651251006821743,0.00016651251006821743,4.0249804555969604e-07,1.3441082691301174e-09
features.17.conv.1.0,features.17,573,0.17054892370443422,0.17071881050407217,0.00016988679963794717,0.00016988679963794717,1.0820212992257441e-07,1.4352683624929694e-09
features.17.conv.1.0,features.17,574,0.17054892370443422,0.17074014750186656,0.00019122379743233275,0.00019122379743233275,1.3256364184144334e-07,2.2694042478565987e-10
features.17.conv.1.0,features.17,575,0.17054892370443422,0.17085683922203498,0.00030791551760075975,0.00030791551760075975,6.091248394568538e-08,1.5209639450675103e-10
features.17.conv.1.0,features.17,576,0.17054892370443422,0.16974803081633696,-0.0008008928880972599,0.0008008928880972599,6.671396590718359e-08,9.078491014502531e-10
features.17.conv.1.0,features.17,577,0.17054892370443422,0.1684713959043201,-0.0020775278001141373,0.0020775278001141373,4.680730398831656e-07,6.611978985160415e-10
features.17.conv.1.0,features.17,578,0.17054892370443422,0.16900657601781738,-0.0015423476866168462,0.0015423476866168462,1.82160391659636e-07,1.4335421044675554e-09
features.17.conv.1.0,features.17,579,0.17054892370443422,0.16913694775014781,-0.0014119759542864097,0.0014119759542864097,8.86624206941633e-07,1.967479575093467e-09
features.17.conv.1.0,features.17,580,0.17054892370443422,0.17117993894598604,0.0006310152415518189,0.0006310152415518189,2.825498484071432e-07,1.4571800294183035e-09
features.17.conv.1.0,features.17,581,0.17054892370443422,0.17063854731833766,8.962361390343898e-05,8.962361390343898e-05,2.981661850753881e-07,1.3824627831393599e-09
features.17.conv.1.0,features.17,582,0.17054892370443422,0.1706156055912261,6.668188679187503e-05,6.668188679187503e-05,1.766589576845945e-07,1.1954415235493343e-10
features.17.conv.1.0,features.17,583,0.17054892370443422,0.16876193168055678,-0.0017869920238774428,0.0017869920238774428,1.7935916218903006e-07,8.662405098780467e-10
features.17.conv.1.0,features.17,584,0.17054892370443422,0.17032477808984392,-0.00022414561459030424,0.00022414561459030424,2.6584027068565774e-07,3.007134714849702e-10
features.17.conv.1.0,features.17,585,0.17054892370443422,0.17051724804841284,-3.167565602138489e-05,3.167565602138489e-05,1.845150165991072e-07,2.5530505140536336e-10
features.17.conv.1.0,features.17,586,0.17054892370443422,0.1696196286624932,-0.0009292950419410306,0.0009292950419410306,1.875331889777954e-07,1.8382251554260878e-09
