layer,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,phi,perf
features.6.conv.1.0,163,0.22893262511892457,0.22937892663817708,0.00044630151925251216,0.00044630151925251216,4.945213571971863e-09,1.3823550082392444e-09
features.6.conv.1.0,164,0.22893262511892457,0.22911331146798802,0.00018068634906345804,0.00018068634906345804,4.67834908590703e-08,5.840523065181458e-10
features.6.conv.1.0,165,0.22893262511892457,0.22895644059460124,2.381547567667508e-05,2.381547567667508e-05,8.79802897202353e-09,3.318292840504e-08
features.6.conv.1.0,166,0.22893262511892457,0.225525560001132,-0.003407065117792568,0.003407065117792568,4.71733896389992e-09,4.920048013445921e-08
features.6.conv.1.0,167,0.22893262511892457,0.2322395765176093,0.0033069513986847265,0.0033069513986847265,9.160248559680895e-09,5.1610548723601823e-08
features.6.conv.1.0,168,0.22893262511892457,0.22653145528440174,-0.0024011698345228205,0.0024011698345228205,2.085383954408826e-08,9.068516604315846e-09
features.6.conv.1.0,169,0.22893262511892457,0.2272478485548471,-0.0016847765640774781,0.0016847765640774781,1.8302154458638142e-08,8.986702937363589e-08
features.6.conv.1.0,170,0.22893262511892457,0.2291520548382242,0.00021942971929964084,0.00021942971929964084,1.2382680436573423e-09,2.7014701586836054e-09
features.6.conv.1.0,171,0.22893262511892457,0.23090469579918207,0.0019720706802575094,0.0019720706802575094,1.6805065783387363e-08,4.285387547042774e-07
features.6.conv.1.0,172,0.22893262511892457,0.23662313555162806,0.007690510432703496,0.007690510432703496,9.074651785567767e-08,7.108143518230747e-10
features.6.conv.1.0,173,0.22893262511892457,0.22624889657624764,-0.0026837285426769275,0.0026837285426769275,9.170130432778478e-09,7.70828378904298e-09
features.6.conv.1.0,174,0.22893262511892457,0.2274429890208763,-0.0014896360980482526,0.0014896360980482526,1.2258344561644208e-08,2.7189278384298632e-08
features.6.conv.1.0,175,0.22893262511892457,0.22765763430927527,-0.0012749908096492957,0.0012749908096492957,1.21611005710065e-08,3.659402381117616e-08
features.6.conv.1.0,176,0.22893262511892457,0.2296558434620656,0.000723218343141041,0.000723218343141041,2.6021960142230682e-09,1.7332324020458145e-08
features.6.conv.1.0,177,0.22893262511892457,0.22832594604455272,-0.0006066790743718409,0.0006066790743718409,8.356553671262645e-09,1.1275733236004726e-08
features.6.conv.1.0,178,0.22893262511892457,0.2277975835113233,-0.0011350416076012781,0.0011350416076012781,7.091153886307211e-09,1.4441763340755642e-08
features.6.conv.1.0,179,0.22893262511892457,0.22609579071516905,-0.0028368344037555115,0.0028368344037555115,5.3930929055923116e-08,1.0156688823315108e-09
features.6.conv.1.0,180,0.22893262511892457,0.2275295748080256,-0.0014030503108989623,0.0014030503108989623,1.2178946739993535e-08,4.624807914410667e-08
features.6.conv.1.0,181,0.22893262511892457,0.22826917183581205,-0.000663453283112514,0.000663453283112514,1.298306386843251e-07,1.2830184914491838e-07
features.6.conv.1.0,182,0.22893262511892457,0.22905300342126625,0.00012037830234168378,0.00012037830234168378,3.926808211929256e-09,1.1796212007197937e-08
features.6.conv.1.0,183,0.22893262511892457,0.22996956070689611,0.0010369355879715492,0.0010369355879715492,9.66765334453612e-09,9.153104940651247e-09
features.6.conv.1.0,184,0.22893262511892457,0.22336748947691598,-0.005565135642008584,0.005565135642008584,3.767015854805322e-08,2.0433366110239604e-09
features.6.conv.1.0,185,0.22893262511892457,0.23087204970919062,0.0019394245902660534,0.0019394245902660534,4.154829369440449e-08,1.0708967934647262e-08
features.6.conv.1.0,186,0.22893262511892457,0.2265400025697516,-0.002392622549172968,0.002392622549172968,4.137034892437441e-08,2.2958767331715535e-08
features.6.conv.1.0,187,0.22893262511892457,0.23071091239320718,0.001778287274282614,0.001778287274282614,5.305448080861197e-09,8.472203205656115e-08
